,element,count,ncif,min,max,mean,stddev,e1,e2,z1,z2
339,As-Ce,61,22,2.8674,3.3629,3.089,0.104,As,Ce,33,58
340,B-Ce,47,32,2.5106,2.9107,2.792,0.09,B,Ce,5,58
341,Ba-Ce,2,2,3.4433,3.4554,3.449,0.006,Ba,Ce,56,58
342,Br-Ce,97,31,2.7662,3.2702,3.005,0.113,Br,Ce,35,58
343,C-Ce,1435,328,2.0751,3.0475,2.819,0.144,C,Ce,6,58
344,Ca-Ce,46,33,2.904,3.5824,3.466,0.117,Ca,Ce,20,58
345,Cd-Ce,6,6,2.88,3.6908,3.277,0.255,Cd,Ce,48,58
346,Ce-Ce,412,205,2.7293,3.8928,3.689,0.179,Ce,Ce,58,58
347,Ce-Cl,322,87,2.2439,3.1078,2.827,0.135,Ce,Cl,17,58
348,Ce-Co,84,35,2.6133,3.2898,2.974,0.165,Ce,Co,27,58
349,Ce-Cr,4,4,3.1929,3.3191,3.247,0.056,Ce,Cr,24,58
350,Ce-Cu,91,56,2.7911,3.3263,3.155,0.128,Ce,Cu,29,58
351,Ce-F,334,127,1.986,2.7953,2.391,0.138,Ce,F,9,58
352,Ce-Fe,77,44,2.8061,3.2946,3.115,0.106,Ce,Fe,26,58
353,Ce-Ga,96,33,3.0022,3.4238,3.228,0.095,Ce,Ga,31,58
354,Ce-Ge,166,60,2.5307,3.3765,3.143,0.138,Ce,Ge,32,58
355,Ce-H,30,16,2.0301,2.3246,2.169,0.075,Ce,H,1,58
356,Ce-I,71,36,2.938,3.4985,3.216,0.097,Ce,I,53,58
357,Ce-In,102,36,3.1413,3.6217,3.391,0.102,Ce,In,49,58
358,Ce-La,11,9,3.5253,3.8954,3.722,0.109,Ce,La,57,58
359,Ce-Li,3,1,2.2239,2.6095,2.464,0.171,Ce,Li,3,58
360,Ce-Mg,49,43,3.1567,3.5463,3.42,0.097,Ce,Mg,12,58
361,Ce-Mn,54,26,2.7802,3.3264,3.24,0.121,Ce,Mn,25,58
362,Ce-Mo,10,5,3.2923,3.4805,3.397,0.068,Ce,Mo,42,58
363,Ce-N,1912,440,2.0766,2.913,2.577,0.146,Ce,N,7,58
364,Ce-Na,70,49,2.8866,3.5912,3.486,0.109,Ce,Na,11,58
365,Ce-Nb,22,18,2.9397,3.5266,3.36,0.159,Ce,Nb,41,58
366,Ce-Ni,215,72,2.4968,3.3019,3.037,0.156,Ce,Ni,28,58
367,Ce-O,12169,1573,1.9517,2.8076,2.472,0.13,Ce,O,8,58
368,Ce-P,72,34,2.3995,3.1963,3.04,0.12,Ce,P,15,58
369,Ce-Pd,69,38,2.8129,3.4561,3.168,0.171,Ce,Pd,46,58
370,Ce-Rb,1,1,3.1675,3.1675,3.167,0.0,Ce,Rb,37,58
371,Ce-Rh,40,29,2.4329,3.4142,3.064,0.183,Ce,Rh,45,58
372,Ce-Ru,20,18,2.6111,3.4055,3.018,0.216,Ce,Ru,44,58
373,Ce-S,606,97,2.6096,3.2047,2.969,0.11,Ce,S,16,58
374,Ce-Sb,54,31,3.1762,3.5601,3.342,0.084,Ce,Sb,51,58
375,Ce-Se,251,50,2.8637,3.3145,3.118,0.12,Ce,Se,34,58
376,Ce-Si,216,124,2.9678,3.2568,3.164,0.072,Ce,Si,14,58
377,Ce-Sn,77,26,3.0157,3.5685,3.354,0.112,Ce,Sn,50,58
378,Ce-Sr,2,1,2.9266,2.9266,2.927,0.0,Ce,Sr,38,58
379,Ce-Te,61,17,3.0729,3.5423,3.289,0.095,Ce,Te,52,58
380,Ce-V,14,9,3.2178,3.3775,3.285,0.053,Ce,V,23,58
381,Ce-Y,10,8,2.7092,3.7418,3.549,0.288,Ce,Y,39,58
382,Ce-Zn,112,25,2.9124,3.4133,3.218,0.105,Ce,Zn,30,58
383,Al-Cl,1973,552,1.8249,2.5239,2.151,0.067,Al,Cl,13,17
384,Be-Cl,27,9,1.8453,2.057,2.006,0.056,Be,Cl,4,17
385,Br-Cl,11,7,1.892,2.6997,2.386,0.234,Br,Cl,17,35
386,Cl-Cl,5644,2568,1.6237,2.6056,2.266,0.261,Cl,Cl,17,17
387,Cl-H,465,260,1.0743,1.5457,1.32,0.135,Cl,H,1,17
388,Cl-I,135,70,2.1039,2.8115,2.512,0.133,Cl,I,17,53
389,Cl-Li,848,362,2.1657,2.7607,2.409,0.115,Cl,Li,3,17
390,Cl-Mg,457,135,2.0906,2.7958,2.469,0.088,Cl,Mg,12,17
391,Cl-Na,1038,556,1.9822,3.1266,2.865,0.158,Cl,Na,11,17
392,Cl-Si,1087,442,1.909,2.412,2.097,0.073,Cl,Si,14,17
393,Al-Co,467,49,2.0143,2.7574,2.481,0.116,Al,Co,13,27
394,B-Co,2197,368,1.657,2.5121,2.108,0.082,B,Co,5,27
395,C-Co,18615,2549,1.5878,2.2769,1.97,0.12,C,Co,6,27
396,Ca-Co,7,4,2.4405,2.9679,2.74,0.181,Ca,Co,20,27
397,Cl-Co,2564,1200,1.8979,2.6538,2.315,0.103,Cl,Co,17,27
398,Co-Co,2143,738,2.02,2.7361,2.509,0.114,Co,Co,27,27
399,Co-Cr,26,17,2.0709,2.7151,2.536,0.181,Co,Cr,24,27
400,Co-F,541,160,1.6061,2.2942,2.006,0.088,Co,F,9,27
401,Co-Fe,69,38,2.1847,2.732,2.538,0.11,Co,Fe,26,27
402,Co-H,283,140,1.2165,2.0272,1.662,0.181,Co,H,1,27
403,Co-K,6,5,2.1299,2.2366,2.179,0.043,Co,K,19,27
404,Co-Li,1,1,2.0033,2.0033,2.003,0.0,Co,Li,3,27
405,Co-Mg,25,11,2.2144,2.9663,2.825,0.199,Co,Mg,12,27
406,Co-Mn,48,32,2.4335,2.7469,2.61,0.078,Co,Mn,25,27
407,Co-N,33900,8691,1.6021,2.2709,2.033,0.105,Co,N,7,27
408,Co-Na,37,28,2.567,3.0178,2.912,0.102,Co,Na,11,27
409,Co-O,42072,7948,1.5693,2.3207,2.058,0.097,Co,O,8,27
410,Co-P,2938,1026,1.9454,2.6103,2.218,0.073,Co,P,15,27
411,Co-S,2695,801,1.9266,2.7394,2.307,0.128,Co,S,16,27
412,Co-Sc,1,1,2.0586,2.0586,2.059,0.0,Co,Sc,21,27
413,Co-Si,261,105,2.0064,2.6727,2.334,0.116,Co,Si,14,27
414,Co-Ti,11,8,2.0234,2.2735,2.182,0.099,Co,Ti,22,27
415,Co-V,31,13,2.4581,2.7918,2.631,0.098,Co,V,23,27
416,Al-Cr,353,27,2.1767,2.7845,2.596,0.119,Al,Cr,13,24
417,B-Cr,181,63,1.9154,2.5913,2.264,0.128,B,Cr,5,24
418,C-Cr,11126,1525,1.6834,2.301,2.078,0.161,C,Cr,6,24
419,Ca-Cr,7,6,2.4872,3.024,2.851,0.165,Ca,Cr,20,24
420,Cl-Cr,1191,535,2.0881,2.7149,2.351,0.089,Cl,Cr,17,24
421,Cr-Cr,361,191,1.9361,2.7845,2.489,0.232,Cr,Cr,24,24
422,Cr-F,2390,258,1.61,2.215,1.921,0.048,Cr,F,9,24
423,Cr-H,256,75,1.3055,2.0163,1.758,0.089,Cr,H,1,24
424,Cr-Mg,4,2,2.7783,2.9488,2.858,0.062,Cr,Mg,12,24
425,Cr-N,5165,1451,1.5857,2.28,2.044,0.088,Cr,N,7,24
426,Cr-Na,17,13,2.7676,3.0441,2.973,0.064,Cr,Na,11,24
427,Cr-O,14349,2518,1.3884,2.2547,1.911,0.138,Cr,O,8,24
428,Cr-P,906,317,2.1645,2.6413,2.396,0.067,Cr,P,15,24
429,Cr-S,902,276,2.1859,2.6983,2.403,0.09,Cr,S,16,24
430,Cr-Si,40,21,2.3039,2.6995,2.472,0.098,Cr,Si,14,24
431,Cr-V,3,2,2.759,2.8064,2.791,0.022,Cr,V,23,24
432,Ag-Cs,2,2,3.3376,3.3386,3.338,0.0,Ag,Cs,47,55
433,As-Cs,2,1,3.1248,3.3405,3.233,0.108,As,Cs,33,55
434,Br-Cs,670,114,3.1334,4.0212,3.762,0.143,Br,Cs,35,55
435,C-Cs,2,2,2.8708,2.9019,2.886,0.016,C,Cs,6,55
436,Ca-Cs,1,1,2.8102,2.8102,2.81,0.0,Ca,Cs,20,55
437,Cd-Cs,1,1,3.6342,3.6342,3.634,0.0,Cd,Cs,48,55
438,Cl-Cs,1855,345,2.4169,3.8689,3.587,0.149,Cl,Cs,17,55
439,Co-Cs,2,2,2.4357,3.3511,2.893,0.458,Co,Cs,27,55
440,Cs-Cs,407,183,2.7795,3.9882,3.713,0.317,Cs,Cs,55,55
441,Cs-Cu,1,1,3.1654,3.1654,3.165,0.0,Cs,Cu,29,55
442,Cs-F,1462,327,2.0544,3.4121,3.15,0.135,Cs,F,9,55
443,Cs-Ga,2,1,3.3781,3.4559,3.417,0.039,Cs,Ga,31,55
444,Cs-Ge,2,2,3.1571,3.4184,3.288,0.131,Cs,Ge,32,55
445,Cs-H,7,5,1.6962,2.3632,2.158,0.205,Cs,H,1,55
446,Cs-I,413,108,2.8297,4.2304,4.002,0.156,Cs,I,53,55
447,Cs-In,8,4,3.3716,3.6631,3.591,0.091,Cs,In,49,55
448,Cs-K,13,11,2.5795,3.5444,3.147,0.312,Cs,K,19,55
449,Cs-Li,7,7,1.9948,2.5066,2.288,0.139,Cs,Li,3,55
450,Cs-Mn,2,1,2.4984,2.6216,2.56,0.062,Cs,Mn,25,55
451,Cs-Mo,1,1,3.4498,3.4498,3.45,0.0,Cs,Mo,42,55
452,Cs-N,3,2,2.2276,2.6808,2.397,0.202,Cs,N,7,55
453,Cs-Na,31,23,2.5395,3.6457,3.318,0.349,Cs,Na,11,55
454,Cs-Ni,1,1,2.5094,2.5094,2.509,0.0,Cs,Ni,28,55
455,Cs-O,19774,1753,2.0288,3.4999,3.208,0.165,Cs,O,8,55
456,Cs-P,4,3,2.3659,3.1116,2.804,0.275,Cs,P,15,55
457,Cs-Rb,20,3,3.3799,3.6478,3.609,0.055,Cs,Rb,37,55
458,Cs-S,2271,329,2.269,3.8877,3.647,0.139,Cs,S,16,55
459,Cs-Sb,2,2,3.4668,3.5665,3.517,0.05,Cs,Sb,51,55
460,Cs-Se,11,5,2.5652,3.3551,3.101,0.268,Cs,Se,34,55
461,Cs-Sn,15,5,3.2418,3.6555,3.54,0.115,Cs,Sn,50,55
462,Cs-Te,13,8,2.7781,3.5902,3.385,0.212,Cs,Te,52,55
463,Cs-Ti,2,1,2.7284,2.8131,2.771,0.042,Cs,Ti,22,55
464,Cs-V,4,2,3.2232,3.342,3.278,0.043,Cs,V,23,55
465,Cs-Zn,1,1,3.4302,3.4302,3.43,0.0,Cs,Zn,30,55
466,Al-Cu,351,27,2.1283,2.7694,2.535,0.081,Al,Cu,13,29
467,B-Cu,187,67,1.9797,2.5079,2.246,0.122,B,Cu,5,29
468,C-Cu,3942,1359,1.6635,2.2889,1.98,0.109,C,Cu,6,29
469,Ca-Cu,19,11,2.8263,3.0261,2.972,0.055,Ca,Cu,20,29
470,Cl-Cu,6575,2587,1.9128,2.7547,2.345,0.148,Cl,Cu,17,29
471,Co-Cu,13,6,1.9138,2.5986,2.452,0.208,Co,Cu,27,29
472,Cr-Cu,12,6,2.6184,2.769,2.7,0.046,Cr,Cu,24,29
473,Cu-Cu,5083,1560,1.9215,2.7612,2.61,0.125,Cu,Cu,29,29
474,Cu-F,903,230,1.7252,2.2559,1.977,0.118,Cu,F,9,29
475,Cu-Fe,205,65,1.9357,2.7562,2.574,0.099,Cu,Fe,26,29
476,Cu-H,358,165,1.2219,1.9971,1.748,0.143,Cu,H,1,29
477,Cu-K,3,3,2.7096,2.9316,2.794,0.098,Cu,K,19,29
478,Cu-Mg,40,28,2.3811,2.9797,2.814,0.151,Cu,Mg,12,29
479,Cu-Mn,33,18,2.4399,2.7587,2.596,0.105,Cu,Mn,25,29
480,Cu-N,63234,17186,1.5826,2.283,2.011,0.073,Cu,N,7,29
481,Cu-Na,21,13,2.545,3.0311,2.924,0.107,Cu,Na,11,29
482,Cu-Ni,80,19,2.3915,2.7372,2.615,0.094,Cu,Ni,28,29
483,Cu-O,57261,13911,1.5582,2.242,1.973,0.079,Cu,O,8,29
484,Cu-P,4897,1784,1.9389,2.6567,2.264,0.066,Cu,P,15,29
485,Cu-S,10726,2476,1.8063,2.5834,2.304,0.083,Cu,S,16,29
486,Cu-Sc,3,1,2.0342,2.333,2.141,0.136,Cu,Sc,21,29
487,Cu-Si,261,60,2.0945,2.6844,2.452,0.121,Cu,Si,14,29
488,Cu-V,25,21,2.2909,2.8156,2.705,0.098,Cu,V,23,29
489,Ag-Dy,10,10,2.9748,3.4102,3.099,0.123,Ag,Dy,47,66
490,Al-Dy,30,14,2.9017,3.2305,3.094,0.088,Al,Dy,13,66
491,As-Dy,21,10,2.8515,3.2673,2.991,0.124,As,Dy,33,66
492,B-Dy,68,25,2.5047,2.8418,2.703,0.073,B,Dy,5,66
493,Ba-Dy,5,5,3.3838,3.4573,3.425,0.026,Ba,Dy,56,66
494,Br-Dy,31,8,2.7086,3.0539,2.827,0.089,Br,Dy,35,66
495,C-Dy,1384,181,2.205,2.7847,2.646,0.083,C,Dy,6,66
496,Ca-Dy,3,2,3.4237,3.4246,3.424,0.0,Ca,Dy,20,66
497,Cd-Dy,5,4,3.1103,3.3401,3.267,0.081,Cd,Dy,48,66
498,Cl-Dy,158,70,2.3583,3.0397,2.694,0.102,Cl,Dy,17,66
499,Co-Dy,54,37,2.8237,3.2397,3.032,0.13,Co,Dy,27,66
500,Cr-Dy,6,5,3.0552,3.1546,3.114,0.041,Cr,Dy,24,66
501,Cu-Dy,27,23,2.8549,3.2546,3.122,0.105,Cu,Dy,29,66
502,Dy-Dy,625,244,2.637,3.752,3.612,0.132,Dy,Dy,66,66
503,Dy-F,29,15,2.0409,2.5242,2.278,0.108,Dy,F,9,66
504,Dy-Fe,46,27,2.2822,3.2444,3.022,0.23,Dy,Fe,26,66
505,Dy-Ga,19,12,2.8898,3.2984,3.096,0.108,Dy,Ga,31,66
506,Dy-Ge,105,48,2.5506,3.3052,2.991,0.122,Dy,Ge,32,66
507,Dy-H,56,23,1.5729,2.2521,2.094,0.161,Dy,H,1,66
508,Dy-I,16,5,2.9618,3.2142,3.108,0.071,Dy,I,53,66
509,Dy-In,24,13,3.0721,3.5076,3.281,0.098,Dy,In,49,66
510,Dy-Mg,11,10,3.1467,3.4675,3.317,0.108,Dy,Mg,12,66
511,Dy-Mn,22,19,2.8635,3.2539,3.144,0.095,Dy,Mn,25,66
512,Dy-Mo,15,7,3.1258,3.3563,3.289,0.074,Dy,Mo,42,66
513,Dy-N,2930,761,1.9641,2.7519,2.513,0.09,Dy,N,7,66
514,Dy-Na,9,6,3.359,3.512,3.435,0.046,Dy,Na,11,66
515,Dy-Nb,2,2,3.4123,3.4197,3.416,0.004,Dy,Nb,41,66
516,Dy-Nd,2,2,3.7752,3.7752,3.775,0.0,Dy,Nd,60,66
517,Dy-Ni,71,34,2.5502,3.216,3.017,0.145,Dy,Ni,28,66
518,Dy-O,21033,1780,1.9329,2.7371,2.378,0.09,Dy,O,8,66
519,Dy-P,47,21,2.8795,3.1186,3.017,0.071,Dy,P,15,66
520,Dy-Pd,14,12,2.8289,3.3391,2.961,0.134,Dy,Pd,46,66
521,Dy-Rh,10,9,2.9393,3.3503,3.077,0.142,Dy,Rh,45,66
522,Dy-Ru,15,9,2.5886,3.34,3.027,0.216,Dy,Ru,44,66
523,Dy-S,461,55,2.3987,3.0794,2.826,0.087,Dy,S,16,66
524,Dy-Sb,33,10,3.0765,3.4678,3.195,0.101,Dy,Sb,51,66
525,Dy-Se,79,18,2.74,3.2069,2.896,0.088,Dy,Se,34,66
526,Dy-Si,52,36,2.7318,3.1855,3.015,0.105,Dy,Si,14,66
527,Dy-Sn,78,16,2.5029,3.5181,3.17,0.175,Dy,Sn,50,66
528,Dy-Te,63,19,2.9531,3.4432,3.122,0.119,Dy,Te,52,66
529,Dy-V,4,4,3.135,3.2782,3.178,0.058,Dy,V,23,66
530,Dy-Y,6,4,3.5842,3.6775,3.633,0.035,Dy,Y,39,66
531,Dy-Zn,81,21,2.8822,3.3466,3.172,0.11,Dy,Zn,30,66
532,Ag-Er,8,8,2.9792,3.172,3.083,0.071,Ag,Er,47,68
533,Al-Er,62,30,2.825,3.2379,3.052,0.107,Al,Er,13,68
534,As-Er,12,8,2.866,3.1033,2.942,0.065,As,Er,33,68
535,B-Er,187,52,2.495,2.8172,2.679,0.07,B,Er,5,68
536,Ba-Er,5,5,3.3766,3.4293,3.411,0.019,Ba,Er,56,68
537,Br-Er,17,2,2.662,3.0583,2.819,0.098,Br,Er,35,68
538,C-Er,1888,331,1.9975,2.9657,2.645,0.146,C,Er,6,68
539,Ca-Er,3,2,3.2289,3.395,3.337,0.076,Ca,Er,20,68
540,Cd-Er,2,2,3.1077,3.2664,3.187,0.079,Cd,Er,48,68
541,Ce-Er,3,3,3.6524,3.6687,3.658,0.008,Ce,Er,58,68
542,Cl-Er,176,67,2.3365,2.866,2.656,0.092,Cl,Er,17,68
543,Co-Er,58,33,2.4294,3.201,2.953,0.175,Co,Er,27,68
544,Cr-Er,4,4,2.9631,3.169,3.097,0.079,Cr,Er,24,68
545,Cu-Er,47,38,2.7457,3.224,3.126,0.114,Cu,Er,29,68
546,Er-Er,461,130,2.5954,3.705,3.442,0.245,Er,Er,68,68
547,Er-F,280,25,1.9661,2.6455,2.283,0.102,Er,F,9,68
548,Er-Fe,94,40,2.4991,3.2304,3.065,0.128,Er,Fe,26,68
549,Er-Ga,25,18,2.7544,3.3354,3.027,0.125,Er,Ga,31,68
550,Er-Gd,2,1,3.738,3.738,3.738,0.0,Er,Gd,64,68
551,Er-Ge,121,38,2.5512,3.2851,2.958,0.132,Er,Ge,32,68
552,Er-H,42,17,1.6773,2.2183,2.093,0.137,Er,H,1,68
553,Er-I,58,12,2.6846,3.3205,3.077,0.123,Er,I,53,68
554,Er-In,15,12,3.0815,3.5051,3.282,0.111,Er,In,49,68
555,Er-K,1,1,3.3695,3.3695,3.369,0.0,Er,K,19,68
556,Er-La,1,1,3.5602,3.5602,3.56,0.0,Er,La,57,68
557,Er-Mg,6,6,3.1729,3.34,3.267,0.055,Er,Mg,12,68
558,Er-Mn,19,12,2.9535,3.2123,3.091,0.064,Er,Mn,25,68
559,Er-Mo,5,3,3.1763,3.3306,3.264,0.068,Er,Mo,42,68
560,Er-N,1476,424,2.1263,2.7303,2.456,0.109,Er,N,7,68
561,Er-Na,3,3,3.2825,3.4687,3.367,0.077,Er,Na,11,68
562,Er-Nb,6,1,3.4052,3.4155,3.41,0.004,Er,Nb,41,68
563,Er-Ni,89,44,2.3941,3.2081,2.952,0.163,Er,Ni,28,68
564,Er-O,8606,1082,1.8967,2.7086,2.349,0.089,Er,O,8,68
565,Er-P,25,15,2.7992,3.0979,3.008,0.084,Er,P,15,68
566,Er-Pd,13,13,2.8499,3.1961,2.954,0.11,Er,Pd,46,68
567,Er-Rh,25,22,2.7473,3.2177,2.961,0.111,Er,Rh,45,68
568,Er-Ru,25,9,2.6371,3.1734,2.945,0.124,Er,Ru,44,68
569,Er-S,429,75,2.1285,3.0341,2.748,0.111,Er,S,16,68
570,Er-Sb,6,3,2.9478,3.4399,3.176,0.154,Er,Sb,51,68
571,Er-Se,72,25,2.6127,3.2189,2.874,0.106,Er,Se,34,68
572,Er-Si,83,31,2.781,3.1554,2.999,0.098,Er,Si,14,68
573,Er-Sn,31,13,2.9266,3.4684,3.197,0.152,Er,Sn,50,68
574,Er-Tb,2,1,3.4631,3.4631,3.463,0.0,Er,Tb,65,68
575,Er-Te,52,20,2.956,3.4057,3.105,0.128,Er,Te,52,68
576,Er-V,4,4,3.071,3.2668,3.15,0.072,Er,V,23,68
577,Er-Zn,115,12,2.7949,3.3269,3.111,0.107,Er,Zn,30,68
578,Ag-Eu,25,17,3.1921,3.7523,3.425,0.169,Ag,Eu,47,63
579,Al-Eu,92,47,2.6657,3.5718,3.38,0.16,Al,Eu,13,63
580,As-Eu,75,32,2.921,3.5742,3.208,0.143,As,Eu,33,63
581,B-Eu,52,30,2.6996,3.1489,2.956,0.126,B,Eu,5,63
582,Ba-Eu,41,36,2.8484,3.7469,3.649,0.147,Ba,Eu,56,63
583,Br-Eu,20,11,2.7793,3.3308,3.01,0.174,Br,Eu,35,63
584,C-Eu,1055,462,2.5028,3.1149,2.887,0.095,C,Eu,6,63
585,Ca-Eu,63,19,3.4055,3.8335,3.711,0.133,Ca,Eu,20,63
586,Cd-Eu,97,20,2.8939,3.9288,3.624,0.207,Cd,Eu,48,63
587,Cl-Eu,229,72,2.4065,3.3427,2.838,0.171,Cl,Eu,17,63
588,Co-Eu,14,9,3.1483,3.4846,3.324,0.103,Co,Eu,27,63
589,Cr-Eu,3,3,3.1543,3.3111,3.21,0.072,Cr,Eu,24,63
590,Cs-Eu,2,2,3.9681,4.1024,4.035,0.067,Cs,Eu,55,63
591,Cu-Eu,105,68,2.4884,3.5526,3.316,0.144,Cu,Eu,29,63
592,Eu-Eu,734,323,3.1132,4.3633,3.891,0.226,Eu,Eu,63,63
593,Eu-F,152,41,2.2062,3.0128,2.538,0.183,Eu,F,9,63
594,Eu-Fe,12,11,3.1242,3.493,3.291,0.109,Eu,Fe,26,63
595,Eu-Ga,77,40,3.041,3.6692,3.365,0.17,Eu,Ga,31,63
596,Eu-Ge,97,51,2.9944,3.6168,3.329,0.14,Eu,Ge,32,63
597,Eu-H,101,37,1.8737,2.5604,2.395,0.169,Eu,H,1,63
598,Eu-I,84,23,2.9175,3.7472,3.409,0.145,Eu,I,53,63
599,Eu-In,69,35,3.1327,3.8767,3.539,0.181,Eu,In,49,63
600,Eu-K,10,5,3.5098,3.7337,3.622,0.087,Eu,K,19,63
601,Eu-La,1,1,4.0213,4.0213,4.021,0.0,Eu,La,57,63
602,Eu-Li,2,2,2.6973,2.8371,2.767,0.07,Eu,Li,3,63
603,Eu-Mg,51,22,3.2291,3.7715,3.588,0.147,Eu,Mg,12,63
604,Eu-Mn,13,10,3.2168,3.531,3.389,0.102,Eu,Mn,25,63
605,Eu-Mo,11,7,3.2331,3.7094,3.534,0.151,Eu,Mo,42,63
606,Eu-N,3086,763,2.1763,3.0611,2.612,0.129,Eu,N,7,63
607,Eu-Na,41,31,3.174,3.8303,3.583,0.177,Eu,Na,11,63
608,Eu-Nb,7,5,3.3239,3.7397,3.51,0.148,Eu,Nb,41,63
609,Eu-Nd,2,2,3.8745,4.0148,3.945,0.07,Eu,Nd,60,63
610,Eu-Ni,41,30,2.832,3.5063,3.198,0.205,Eu,Ni,28,63
611,Eu-O,15958,1869,2.0311,3.0426,2.434,0.105,Eu,O,8,63
612,Eu-P,74,43,2.9393,3.4277,3.156,0.133,Eu,P,15,63
613,Eu-Pd,18,16,2.8887,3.572,3.205,0.178,Eu,Pd,46,63
614,Eu-Rh,18,13,2.9614,3.5925,3.252,0.181,Eu,Rh,45,63
615,Eu-Ru,15,7,3.2228,3.6544,3.42,0.122,Eu,Ru,44,63
616,Eu-S,471,100,2.6795,3.3764,3.025,0.12,Eu,S,16,63
617,Eu-Sb,208,57,3.1516,3.814,3.39,0.133,Eu,Sb,51,63
618,Eu-Se,111,29,2.9924,3.5074,3.196,0.106,Eu,Se,34,63
619,Eu-Si,198,87,2.9601,3.4911,3.292,0.125,Eu,Si,14,63
620,Eu-Sm,9,2,3.6031,4.0006,3.857,0.143,Eu,Sm,62,63
621,Eu-Sn,50,20,3.28,3.7602,3.496,0.12,Eu,Sn,50,63
622,Eu-Sr,3,3,3.4509,3.4599,3.454,0.004,Eu,Sr,38,63
623,Eu-Te,12,10,3.2793,3.6022,3.389,0.097,Eu,Te,52,63
624,Eu-V,7,4,3.175,3.6144,3.377,0.163,Eu,V,23,63
625,Eu-Y,16,5,3.6643,3.7947,3.714,0.03,Eu,Y,39,63
626,Eu-Zn,62,42,2.977,3.6418,3.407,0.147,Eu,Zn,30,63
627,Be-F,373,113,1.0571,1.7987,1.54,0.056,Be,F,4,9
628,Br-F,50,21,1.5022,2.1042,1.785,0.111,Br,F,9,35
629,Cl-F,91,34,1.4072,2.0103,1.667,0.168,Cl,F,9,17
630,F-F,8318,2022,1.1808,1.6992,1.439,0.155,F,F,9,9
631,F-H,544,304,0.8018,1.3995,1.1,0.171,F,H,1,9
632,F-I,147,34,1.5556,2.4081,1.908,0.131,F,I,9,53
633,F-Li,1003,429,1.5038,2.2292,1.991,0.12,F,Li,3,9
634,F-P,73016,7744,1.279,2.0993,1.573,0.048,F,P,9,15
635,F-S,1098,328,1.2342,2.0531,1.579,0.141,F,S,9,16
636,Al-Fe,348,82,1.9841,2.7708,2.506,0.124,Al,Fe,13,26
637,B-Fe,1603,386,1.6713,2.4396,2.149,0.107,B,Fe,5,26
638,C-Fe,96798,9237,1.5915,2.2891,2.014,0.096,C,Fe,6,26
639,Ca-Fe,46,37,2.3549,3.0306,2.955,0.124,Ca,Fe,20,26
640,Cl-Fe,3661,1414,1.8418,2.6489,2.284,0.106,Cl,Fe,17,26
641,Cr-Fe,51,37,1.9551,2.7699,2.555,0.179,Cr,Fe,24,26
642,F-Fe,2076,690,1.6626,2.2276,1.993,0.084,F,Fe,9,26
643,Fe-Fe,4599,1914,1.9258,2.7611,2.599,0.1,Fe,Fe,26,26
644,Fe-H,938,400,1.2709,1.9668,1.65,0.156,Fe,H,1,26
645,Fe-K,2,2,2.1139,2.9082,2.511,0.397,Fe,K,19,26
646,Fe-Li,76,40,1.6238,1.8258,1.654,0.036,Fe,Li,3,26
647,Fe-Mg,279,116,2.5267,2.9829,2.902,0.063,Fe,Mg,12,26
648,Fe-Mn,42,19,2.1441,2.7429,2.552,0.146,Fe,Mn,25,26
649,Fe-N,33185,7605,1.5774,2.3287,2.053,0.127,Fe,N,7,26
650,Fe-Na,59,44,2.3091,3.0324,2.925,0.127,Fe,Na,11,26
651,Fe-O,57594,9570,1.5594,2.336,2.032,0.105,Fe,O,8,26
652,Fe-P,5152,1973,1.9886,2.6271,2.256,0.082,Fe,P,15,26
653,Fe-S,10260,2093,1.9298,2.6038,2.294,0.079,Fe,S,16,26
654,Fe-Sc,1,1,2.2612,2.2612,2.261,0.0,Fe,Sc,21,26
655,Fe-Si,848,344,2.1436,2.6885,2.413,0.108,Fe,Si,14,26
656,Fe-Ti,10,9,2.0014,2.4341,2.25,0.161,Fe,Ti,22,26
657,Fe-V,69,30,2.0495,2.8133,2.676,0.175,Fe,V,23,26
658,Al-Ga,4,4,2.5483,2.6743,2.616,0.045,Al,Ga,13,31
659,B-Ga,38,26,2.062,2.4325,2.18,0.12,B,Ga,5,31
660,C-Ga,2143,555,1.815,2.3949,2.079,0.148,C,Ga,6,31
661,Ca-Ga,13,13,2.9058,3.1386,3.076,0.071,Ca,Ga,20,31
662,Cl-Ga,1869,496,1.867,2.6301,2.188,0.067,Cl,Ga,17,31
663,Co-Ga,93,47,2.1952,2.8543,2.474,0.121,Co,Ga,27,31
664,Cr-Ga,54,16,2.3736,2.7567,2.56,0.075,Cr,Ga,24,31
665,Cu-Ga,94,39,2.0872,2.8459,2.548,0.177,Cu,Ga,29,31
666,F-Ga,505,130,1.7133,2.332,1.934,0.087,F,Ga,9,31
667,Fe-Ga,321,104,2.1105,2.8328,2.502,0.121,Fe,Ga,26,31
668,Ga-Ga,1403,401,2.0994,2.9728,2.675,0.166,Ga,Ga,31,31
669,Ga-H,199,97,1.2992,1.8573,1.566,0.12,Ga,H,1,31
670,Ga-K,6,6,2.2299,2.9331,2.452,0.228,Ga,K,19,31
671,Ga-Li,5,4,1.5311,2.1214,1.816,0.233,Ga,Li,3,31
672,Ga-Mg,59,29,2.5842,3.0856,2.903,0.108,Ga,Mg,12,31
